,src,mt,ref,correctness,repetitions,named-entities,omission,strong-unsupport,full-unsupport
1397,Ihm verdanken wir auch das bildliche Festhalten des Arbeitsvorgangs.,It is also thanks to him that the work process has been kept intact.,He also made the pictures on this site.,0,0,0,0,0,0
1398,Was ist zu tun?,What needs to be done?,What can be done?,1,0,0,0,0,0
1399,Nach dem Aufenthalt sendeten uns die Gäste folgende Bewertungen für Hilton Rotterdam .,The guest reviews are submitted by our customers after their stay at Hilton Rotterdam .,The guest reviews are submitted by our customers after their stay at Hilton Rotterdam .,1,0,0,0,0,0
1400,Präsident der Kommission:,President of the Commission:,President of the Commission:,1,0,0,0,0,0
1401,Über unsere Sitemap können Sie sich auf unserer Webseite zurecht finden.,You can browse our site through our sitemap .,Use our sitemap to easily locate the information you are seeking on our site.,1,0,0,0,0,0
1402,"Die EVPFraktion ist daher erfreut, daß im Entschließungsantrag von Kollege Cabezón hierzu bereits viele Änderungsanträge, die wir eingebracht haben, aufgenommen wurden.",The Group of the European People's Party (Christian Democrats) and European Democrats is therefore pleased that Mr Cabezón's motion for a resolution on this subject has already included many of the amendments we tabled.,The Group of the European People's Party is therefore pleased that many of our amendments to this effect have been included in Mr Cabezón's motion for a resolution.,1,0,0,0,0,0
1403,"Aus diesen prinzipiellen Erwägungen heraus und weil der Inhalt nicht den Wünschen der EVP entsprach, haben wir gegen diesen Änderungsantrag 201 gestimmt.","For these reasons of principle and because the content was not in line with the wishes of the Group of the European People's Party (Christian Democrats) and European Democrats, we voted against Amendment 2016.","On principle, therefore, and also because the content of Amendment No 201 was not consistent with the wishes of the PPE Group, we voted against this amendment.",0,0,1,0,0,0
1404,Lieber zu zweit als alleine in die Vorstellung gehen?,Do you love to go to the imagination as a couple?,Would you rather go together with someone than alone?,0,0,0,0,0,0
1405,Ich ergreife das Wort zu einer persönlichen Bemerkung nach Artikel 108 der Geschäftsordnung.,I rise on a personal point of order under Rule 108 of the Rules of Procedure.,"I wish to make a personal statement, pursuant to Rule 108.",0,0,0,0,0,0
1406,Ich bedanke mich für Ihre Anregungen.,Thank you for your suggestions.,Thank you for your comments and suggestions.,1,0,0,0,0,0
1407,Nuten fräsen oder Löcher bohren wird damit zu einem Kinderspiel.,Doing good mills or drilling holes thus becomes a children's game.,"Milling a slot, or drilling measured holes, becomes a piece of cake.",0,0,0,0,0,0
1408,Bedingt durch die weltweite Finanzkrise und eine stark angeschlagene Automobilindustrie mussten viele Unternehmen im Jahr 2009 zum Teil starke Rückgänge bei den Absatzzahlen hinnehmen.,"As a result of the global financial crisis and a highly vulnerable automotive industry, many companies in 2009 suffered a large drop in sales.","As a result of the global financial crisis and a struggling automotive industry, many companies had to accept substantial drops in sales figures for 2009.",1,0,0,0,0,0
1409,Für Bildung und Kultur zuständiges Mitglied der Europäischen Kommission,European Commissioner for Education and Culture,"Member of the European Commission, responsible for Education and Culture",1,0,0,0,0,0
1410,"Der neben dem Casino , es gibt nur Gewinner, Marie-Hélène.","The next to the casino , there are only winners, Marie-Hélène.","The side of the casino , there is only one winner, Marie-Hélène.",0,0,0,0,0,0
1411,"Bei den Kabinen handelte es sich um eine verglaste, nach oben offene Kabine für je drei Dolmetscher.","The cabin was a glazed, upward-open cabin for three interpreters.",The booths used for this purpose were made of glass and were open at the top.,0,0,0,0,0,0
1412,Im Einzelnen sind davon betroffen:,These include:,"Specifically, it will cover:",1,0,0,0,0,0
1413,"Doch die Krähe fühlte sich sehr schuldig, dem Spatzen so wehgetan zu haben.",But the herbs felt very guilty of hurting the cat.,"However, the crow was as well as depressed and felt sad about hurting his lovely sparrow.",0,0,0,0,0,0
1414,Bis zu dem uns nicht zu gelangen.,Not to get to us.,Which to us not to reach.,0,0,0,0,0,0
1415,"Der Mythos ""Eurabien""",The Eurabian myth,"The Myth of ""Eurabia""",1,0,0,0,0,0
1416,"Roheisen, legiert sowie Spiegeleisen in Masseln, Blöcken oder anderen Rohformen (ausg.","Pig iron, alloy as well as track iron in massages, blocks or other raw shapes (excl.","Alloy pig iron and spiegeleisen, in pigs, blocks or other primary forms (excl.",0,0,0,0,0,0
1417,"Kein Buffet - kein Aufstehen vom Frühstückstisch und keine ""vergessene"" Butter für Ihre mühsam am Buffet erkämpften Brötchen.... und trotzdem ALLES was das Herz begehrt.",The hotel is in a good location and the staff is very friendly and helpful.,"No buffet - no getting up from your place and no ""forgotten"" butter for your hard won roll at the buffet... and inspite of that you get everything you can think and dream of.",0,0,0,0,0,1
1418,Ehemaliges Jugoslawien XVI,Former Yugoslavia XVI,Former Yugoslavia XVI,1,0,0,0,0,0
1419,Bitte lesen Sie die Readme-Dateien der Programme sowie die FAQs (Antworten auf häufig gestellte Fragen) bevor Sie Kontakt mit uns aufnehmen.,Please read the program's readme files and FAQs before contacting us.,"Before contacting us, make sure the solution to your problem is neither described in the readme file nor in the FAQs.",0,0,0,1,0,0
1420,Ich bitte um Abhilfe.,I would ask you to rectify this.,I need assistance.,0,0,0,0,0,0
1421,"Die gewölbte Abdeckleiste verbirgt die Spanntechnik und ""rahmt"" das Objekt ansprechend ein.","The curved cover bar hides the spray technique and ""cuts"" the object attractive.","The curved cover strip covers the clamping system and ""frames"" the object appealingly.",0,0,0,0,0,0
1422,Pro verschenktem Brezn bekommen die Burschen als Art Gegenleistung ein vom Mädchen schön bemaltes Osterei zurück.,"In return, the castles are given a kind of gift by the girl to a beautiful painted Easter shop.",Per pretzel gave away the boys get back in return as a kind of beautiful girls painted Easter egg.,0,0,0,0,1,0
1423,"Aber diese Debatte existiert nicht, und das ist bedenklich.","This debate does not exist, however, and that is a matter of concern.","But there is not, which is both puzzling and worrisome.",1,0,0,0,0,0
1424,Das darf ihm aber nicht gelingen!,But he must not succeed!,But he must not be allowed to succeed.,1,0,0,0,0,0
1425,"Gibt es die Möglichkeit, zusätzlich zu bestuhlen?",Is there a possibility to add to the irritation?,Is it possible to add additional seating?,0,0,0,0,0,0
1426,"Die Vereinigung ""Pommern in der Europaeischen Union"" ...","The ""Pomors in the European Union"" ...","As part of this unique event, the ""Soli ...",1,0,0,0,0,0
1427,"Man fühlt man völlig entspannt, aber immer noch nicht schlafen.",The staff were very friendly and helpful.,"Man, you feel completely relaxed but still not sleeping.",0,0,0,0,0,1
1428,Die 19jährige Caroline Fischer ist - vor allem in Berlin - keine Unbekannte.,"Caroline Fischer, who is 19 years old, is not unknown, particularly in Berlin.","The 19 year old Caroline Fischer is no stranger, above all not in Berlin.",1,0,0,0,0,0
1429,"Schweden, Bundesrepublik Jugoslawien, Österreich, Belgien, Bulgarien,","Austria, Sweden, Federal Republic of Yugoslavia, Belgium, Bulgaria,","Russian Federation, Sweden, FRY, Austria, Belgium, Bulgaria, Croatia, Spain,",1,0,0,0,0,0
1430,Stärkung des Binnenmarkts,Strengthening the internal market,Strengthening the single market,1,0,0,0,0,0
1431,Damit sind als Stimmauszähler folgende Mitglieder benannt:,The following members are appointed as voting counters:,The following Members are appointed tellers:,1,0,0,0,0,0
1432,"Poliklonen von Sangiovese, wie auch historische Rebsorten und auch Reben wie Colorino, die bereits bekannter sind wurden angebaut.","Poliklonen of Sangiovese, as well as historical grapes and also vines such as Colorino, which have already been grown.","The vine section sees a polyclonal cultivation of Sangiovese, as well as other already well known vines such as Colorino and storic vines (in smaller quantities) chosen by the institutions of research.",0,0,0,0,0,0
1433,So erreicht man eine gleichmäßige Aussaat.,"In this way, a uniform sowing is achieved.","That way, a uniform sowing pattern is achieved.",1,0,0,0,0,0
1434,Uns kommt es dabei besonders auf drei Punkte an.,We are particularly concerned here with three points.,There are three points of special interest to us here.,1,0,0,0,0,0
1435,Eine erste Demonstration fand vor 100 Jahren statt.,A first demonstration took place 100 years ago.,A first demonstration was made 100 years ago.,1,0,0,0,0,0
1436,Warum Amerika arbeitslos ist,Why America's Unemployment,Why America Isn't Working,1,0,0,0,0,0
1437,"Bei einem Konkurs zeigt sich dann, in welche Schwierigkeiten man gerät.","In the event of bankruptcy, you will see the difficulties you are experiencing.","When a firm goes under, you then realise the difficulties we face.",1,0,0,0,0,0
1438,Wollen Sie mehr Infos über Hänel?,Do you want more information about hammocks?,Would you like to know more about Hänel?,0,0,0,0,0,0
1439,Auch an die sportlichen Gäste wird gedacht.,We also think of the sporty guests.,We have even thought of our sporting guests.,1,0,0,0,0,0
1440,Welchen Grund gibt es dafür?,What is the reason for this?,What would be the reason for this?,1,0,0,0,0,0
1441,"Insgesamt also ein ausgezeichneter Bericht, der uns nun zu Taten auffordert.","All in all, then, is an excellent report, which now calls for action.","All in all, therefore, this is an excellent report which calls upon us to take action.",1,0,0,0,0,0
1442,Unsere Mitarbeiter stehen Ihnen gerne für Anfragen zur Verfügung.,Our staff will be happy to answer any questions you may have.,Our staff will be at your disposal for questions.,1,0,0,0,0,0
1443,Dank nicht gerippte Oberfl che Ein-und Ausreise Gef hl ist intensiv.,Thanks to not ripped surface entry and exit vessel is intense.,Thanks not ribbed surface entry and exit feeling is intense.,1,0,0,0,0,0
1444,Vielleicht in einigen Gerichten arbeiten mehr Schreibbüro betreffen nicht einen Wahlkampf um die Uhr zu stoppen stören.,Perhaps in some courts work more offices do not concern an election campaign to stop the clock.,"Perhaps, in some courts operate more clerks' concern not to disturb an election campaign to stop the clock.",0,0,0,0,0,0
1445,"In Zusammensetzungen mit der Anzahl der Autos über 25 Diffusoren No 292 umfassen dlinnosostavny Modus; triple skorodeystvuyuschie Ventile von bis zu 25 Autos umfassen alles, von Notfall-Bremskraftverstärker, sondern als Teil der Zahl der Autos über 25 an der Stelle des Triple-Ventil-Gruppen für mehr als drei in der Gruppe gehören einer einzigen ohne den Beschleuniger, der andere Triple-Ventil ausgeschaltet.","In compounds with the number of cars over 25 diffusors No 292 include dlinnosostavny mode; triple skorodeystvuyuschie valves of up to 25 cars include everything from emergency brake force amplifiers, but as part of the number of cars above 25 at the place of the triple valve group for more than three in the group belong to one without the accelerator, the other triple valve switched off.","In compositions with the number of cars over 25 diffusers No 292 include at dlinnosostavny mode; triple skorodeystvuyuschie valves of up to 25 cars include everything from emergency brake booster, but as part of the number of cars over 25 at the location of the triple valve groups for more than three in the group include a single without the accelerator, the other triple valve is turned off.",1,0,0,0,0,0
1446,Von Ihrem Haus.,From your House.,From your assembly.,1,0,0,0,0,0
1447,Auch die Logopädin war sehr gut und sehr einfühlsam.,The staff were very friendly and helpful.,Also the speech therapist was very good and very sensitive.,0,0,0,0,0,1
1448,Die soll es tatsächlich nicht mehr geben.,It is true that this is no longer the case.,In fact they should no longer be there.,1,0,0,0,0,0
1449,Verbote führen zur Kriminalität.,Bans lead to crime.,Prohibition creates delinquency.,1,0,0,0,0,0
1450,"An den Titten von der Maus kann ich mich gar nicht satt sehen, hammergeil, einfach der Oberknaller.","At the tits of the mouse I can't see myself tired, hammock horny, just the upper bang.","I can not take my eyes from her tits, only my opinion? I guess not.",0,0,0,0,0,0
1451,Klagen beim Gerichtshof der Europischen Union,Referrals to the Court of Justice of the EU,Referrals to the Court of Justice of the European Union,1,0,0,0,0,0
1452,"Sehr geehrter Herr Bender, meine sehr geehrten Damen und Herren,","Mr Bender, ladies and gentlemen,","Dear Mr. Bender, ladies and gentlemen,",1,0,0,0,0,0
1453,Ich will das auch begründen.,I would also like to explain why.,Let me justify that assertion.,1,0,0,0,0,0
1454,Vorbereitung der FRÜHJAHRSTagung des Europäischen Rates,Preparation of the European Council's FRÜHYAHRS,Preparation of the Spring European Council,0,0,0,0,0,0
1455,Rat der Europäischen Union,Council of the European Union,"- Council of the European Union,",1,0,0,0,0,0
1456,Sowohl bei der Trocknung als auch bei der Gefriertrocknung bleibt ein maximaler Nährwert erhalten.,Both drying and freezing drying maintain maximum nutritional value.,Both drying and freeze-drying techniques maintain maximum nutritional quality.,1,0,0,0,0,0
1457,(Das Parlament genehmigtdas Protokoll.),(The Minutes were approved),(The minutes were approved),1,0,0,0,0,0
1458,"Ich bin nach wie vor der Überzeugung, daß",I remain convinced that:,I am still convinced that:,1,0,0,0,0,0
1459,"Falls ihr also weitere solche Fehler bemerkt, gebt mir Bescheid.","So if you notice other such errors, I will be informed.","So in case you find any more mistakes, just let me know.",1,0,0,0,0,0
1460,Wohnhaft ist die Schweizer Nachwuchshoffnung im schönen Engadin.,"In the beautiful Engadine, Switzerland's youngest generation is living.",This up-and-coming young Swiss golfer lives in the beautiful Engadine valley.,0,0,0,0,0,0
1461,Steht er damit vor dem Ende?,Is it coming to an end?,So is he on the way out?,0,0,0,0,0,0
1462,Das war reiflich überlegt.,This has been considered maturely.,We gave careful thought to this.,1,0,0,0,0,0
1463,"Ein besonderes Merkmal sind die Layout-Dateien: Sie legen einmalig die Bildschirmaufteilung fest, z.B. links oben ein AVI, positioniert auf Bild 23 in Normalgröße, rechts oben ein vergrößerter Ausschnitt eines JPEG-Bildes, links unten ein kleines Fenster mit einer Messkurve und recht unten ein großes Fenster mit mehreren Messkurven.","A special feature is the layout files: you set the screen split once, e.g. an AVI at the top left, positioned on image 23 in normal size, an enlarged JPEG image at the top right, a small window at the bottom left with a measurement curve, and a large multi-measure curve window at the bottom right.","The layout files are an especially important feature: they determine the way in which the screen is divided up, for example at the top left an AVI positioned on picture 23 at normal size; at the top right an enlarged view of a JPEG picture; at the lower left a small window with a measurement graph; and at the lower right a large window with several measurement graphs.",1,0,0,0,0,0
1464,"Für die Inhalte von Websites, auf die mittels Hyperlink verwiesen wird, übernimmt die buntmetall amstetten Ges.m.b.H.",buntmetall amstetten Ges.m.b.H.,buntmetall amstetten Ges.m.b.H. does not accept any responsibility for the content of websites indicated using hyperlinks.,0,0,0,1,0,0
1465,Aktivitäten des Vorsitzes im Bildungsbereich,Education activities of the Presidency,Presidency's activities regarding education,1,0,0,0,0,0
1466,"Vielen Dank, Herr Ratspräsident.","Thank you, Mr President-in-Office.",Thank you Mr President-in-Office.,1,0,0,0,0,0
1467,Kontakt mit der Natur zu verzichten.,Do not contact nature.,outdoor sportive activities to stay in shape.,0,0,0,0,0,0
1468,"""Der Rat der Europäischen Union-","""The Council of the European Union,","""The Council of the European Union,",1,0,0,0,0,0
1469,Februar 2012 im Amtsblatt der Europäischen Union veröffentlicht (ABl.,"published in the Official Journal of the European Union (OJ L 144, p.",Published on 18.02.2012 in the Official Journal of the European Union no.,0,0,0,0,0,0
1470,"Herr Vorsitzender, meine Damen und Herren Abgeordnete,","President, ladies and gentlemen,","Mr Chairman, Ladies and Gentlemen,",0,0,1,0,0,0
1471,Einstellen der Stiftung etwa der H he des Grates nach S den frei bekommen und da setzen wir in die Unbedenklichkeit hinsichtlich der Sturmfluten wird uns durch Wellenbrecher Kaps.,"Setting up the foundation for example the H he of the Grate to get the free, and here we put into the safety of the storm floods will be us through wavebreakers caps.",Setting the foundation roughly the height of the promontory get a clear view to the south and there we put in safety with respect to storm surges will cape us by breakwaters.,0,0,0,0,0,0
1472,"""Förderung der Kraft-Wärme-Kopplung auf der Grundlage des Nutzwärmebedarfs im Energiebinnenmarkt"" - Berichterstatterin: Frau EYBALIN (Mitglied des Regionalrats von Rhône-Alpes, F/SPE)","""Rapporteur: Mrs EYBALIN (Member of the Rhône-Alpes Regional Council, F/PES)","Promotion of cogeneration based on a useful heat demand in the internal energy mark Rapporteur: Mrs Eybalin (Regional Councillor, Rhône-Alpes, F/PES)",0,0,0,1,0,0
1473,So bringen die Vorschriften über den Seehechtfang die pelagische Schleppnetzfischerei von Stachelmakrelen in ernste Schwierigkeiten.,"For example, the rules on hake have created serious difficulties for pelagic trawling of barrels.","The restrictions on fishing for hake, for example, will cause serious problems for pelagic horse mackerel trawling.",0,0,0,0,0,0
1474,Ein kleiner Schwamm von nur zwei Gramm erledigt im Körperinneren die Flüssigkeitsaufnahme.,A small sponge of only two grams is carrying out the fluid intake inside the body.,But the insertion of the new Soft-Tampons needs indeed a little time of adaptation.,1,0,0,0,0,0
1475,"Es soll sichergestellt werden,",The aim is to ensure:,The aims are as follows:,1,0,0,0,0,0
1476,Die guten Fortschritte auf dem Weg zu strukturell ausgeglichenen Haushalten müssen fortgesetzt werden.,The good progress towards structurally balanced budgets must continue.,The good progress towards structurally balanced budgets must continue.,1,0,0,0,0,0
1477,Sie werden in der Haushofer-Biographie der Ernst Freiberger-Stiftung neu publiziert.,They will be published in the Haushofer biography of the Ernst Freiberger Foundation.,"Later on, the company is overtaken by its competitors.",0,0,0,1,0,0
1478,Die Zerifikatspreise gelten nur fuer unsere angebotenen Farbedelsteine und Edelsteine.,The price of the ceremony is only valid for our color stones and precious stones.,The prices for the Certificate are only for our precious and semi-precious stones.,0,0,0,0,0,0
1479,Jeweilige Verteilung der Hilfe,Delivery of aid,Relative Distribution of Assistance,0,0,0,0,0,0
1480,(Die Sitzung wird um 23.40 Uhr geschlossen.),(The sitting was closed at 11.40 p.m.),(The sitting was closed at 11.40 p.m.),1,0,0,0,0,0
1481,Vollstrecken verwendet man im Deutschen bei Todesurteilen oder bei Zahlungsbefehlen.,"In the case of death sentences or payment orders, it is used on full routes in Germany.","In German, Vollstreckung relates to the execution of death sentences or orders to pay.",0,0,0,0,0,0
1482,Das Hotel war sehr komfortabel und das Essen war gut.,The staff were very friendly and helpful.,The hotel was very comfortable and the food there was nice.,0,0,0,0,0,1
1483,Verhältnismäßigkeit und Rückwirkung,Proportionality and retroactivity,The issues of proportionality and retroactivity,1,0,0,0,0,0
1484,Konfigurationsoptionen sind skizzierten Verteilung in den Beispielen in der (download it) und auch vor Ort die Umsetzung .,Configuration options are outlined distribution in the examples in the (download it) and also on site the implementation .,Configuration options are outlined in the examples in the distribution (download it) and also on site implementation .,1,0,0,0,0,0
1485,Die Liste umfasst Folgendes:,The list includes:,The list is as follows:,1,0,0,0,0,0
1486,Diesbezüglich gibt es bisher noch keine eindeutigen Vorgaben.,There are still no clear guidelines in this regard.,No explicit provision has yet been made to that effect.,1,0,0,0,0,0
1487,Es handelt sich um einen schwierigen Fall.,This is a difficult case.,It is a difficult case.,1,0,0,0,0,0
1488,Stellen Sie Ihre eigenen Badge hier .,Put your own bathroom here .,Make your own badge here .,0,0,0,0,0,0
1489,Und das tun sie nicht.,And they do not.,But that is just not happening.,1,0,0,0,0,0
1490,"Warmes Blut und Seligkeit Breathing heizt Savage, spuckt Essen selbst und was er isst, und lieblich Schlüpfen Krieg Kunst, Belag aus craze MIT Idiot auf die Bawdy Häuser entscheiden, während, Blaze, über die Fair-time kindisch mart wälzen Di eigenen Zerfall und die Blendung des Pleasure's Way Serving Rising für Neugeborene und dann di Serving Sinking für Staub wieder.","Warm blood and seldom Breathing heats savage, spoils food itself and what he eats, and lovingly sleep war art, Belag out of craze MIT idiots decide on the Bawdy houses, while, Blaze, about the fair-time childish mart, Di reawakened its own disintegration and the blend of the Pleasure's Way Serving Rising for newborns and then di Serving Sinking for dust.","Warm blood, and blessedness Breathing heats Savage, spewing Eating Itself and what it eats, and lovely hatching war art, Decking out craze WITH idiot to decide the Bawdy houses while, Blaze, Through the fair-time childish mart Weltering Tues ITS OWN Decay And the glare of Pleasure's Way Serving Rising for newborn and then Tues Serving Sinking for dust again.",0,0,0,0,0,0
1491,Das kann man nicht hinnehmen.,This is unacceptable.,It is not acceptable.,1,0,0,0,0,0
1492,Mit Maastricht ist das anders geworden.,Maastricht has changed that.,Maastricht changed all that.,1,0,0,0,0,0
1493,Was möchten Sie denn?,What do you want?,So what do you want?,1,0,0,0,0,0
1494,"Sie sind sogar darüber hinausgegangen, bloße Besorgnis zum Ausdruck zu bringen.",They went even further than simply expressing concern.,They have in fact gone beyond expressing concern.,1,0,0,0,0,0
1495,"Dahinter erhebt sich der durch Pilaster und Gurtbogen abgesetzte, halbrund geschlossene Chor.",Behind it rises the half-finished chorus set by pilasters and belts.,"Behind this is the semi-circular choir, divided up by pilasters and barrel vaults.",0,0,0,0,0,0
1496,"Vielen Dank, Herr amtierender Ratspräsident!","Thank you, Mr President-in-Office.","Thank you, Mr President-in-Office.",1,0,0,0,0,0
1497,Dr. Joachim Schü ist seit der Firmengründung 2001 geschäftsführender Gesellschafter der Consileon Business Consultancy.,Dr. Joachim pupils have been Managing Partner of Consileon Business Consultancy since the foundation of the company in 2001.,Joachim Schü has been serving Consileon Business Consultancy as managing director since its establishment in 2001.,0,0,1,0,0,0
1498,Amtsblatt der Europäischen Union,Official Journal of the European Union,Official Journal of the EU,1,0,0,0,0,0
1499,Dies soll der Privatwirtschaft und der Beschäftigung zugute kommen.,This will benefit the private sector and employment.,This is a measure aimed at stimulating business and jobs.,1,0,0,0,0,0
1500,Die Programmaktivitäten erstrecken sich auf,The programme's activities cover:,The activities of the programme will consist of:,1,0,0,0,0,0
1501,"Solarzelt Beweglich und justierbar, schnell und einfach die auseinanderzubauen M...","Solar tents Movable and adjustable, fast and easy to install the m...","Solar Tent Portable and adjustable, fast and easy the awning to mount and to dis...",1,0,0,0,0,0
1502,Häufig handelt es sich lediglich um verringerte Zollsätze.,They are often only reduced tariffs.,"Often, it is simply a matter of lower duties.",1,0,0,0,0,0
1503,Beziehungen zur EU,Relations with the EU,Relations with the EU,1,0,0,0,0,0
1504,"Wenn jedoch die Person, die schon 3÷4‰ hat, schnell eine große Menge des Alkohols trinkt und nicht erbricht, kann 6‰ überschreiten.","If, however, the person who already has 3 calling 4 is drinking a large amount of alcohol quickly and does not break, 6 quarters can exceed it.","When a person with alcohol concentration at approximately 3-4‰ quickly drinks large amount of alcohol and does not vomit, its concentration may exceed 6‰.",0,0,0,0,0,0
1505,Und was bringt uns das?,And what will this bring us?,So what is the advantage?,1,0,0,0,0,0
1506,(Die Sitzung wird um 22.00 Uhr geschlossen.),(The sitting was closed at 10 p.m.),(The sitting was closed at 10 p.m.),1,0,0,0,0,0
1507,Gehzeit) Ausreichend Parkplätze bzw. Parkgaragen sind in unmittelbarer Nähe.,The staff were very friendly and helpful.,to go) Adequate parking- places and garages are within spitting distance.,0,0,0,0,0,1
1508,In diesem Zusammenhang,"In this context,",In this context:,1,0,0,0,0,0
1509,"Nachdem er "" Hiroshima als Viktimisierung "" (japanischer Blickwinkel) und "" Hiroshima als Triumph "" (amerikanischer Blickwinkel) als Titel für seine Version der Geschichte ausprobiert hatte, entschied er sich schließlich für "" Hiroshima als Tragödie "" .","After trying "" Hiroshima as a victimization "" (Japanese perspective) and "" Hiroshima as Triumph "" (American perspective), he finally opted for "" Hiroshima as a tragedy "" .","The title he gave to his version of the facts, after trying out "" Hiroshima as a victimization "" (the Japanese point of view) and "" Hiroshima as a triumph "" (the American point of view), was "" Hiroshima as a tragedy. """,1,0,0,0,0,0
1510,Dazu haben auch die EU-Maßnahmen zur Stabilisierung der Märkte beigetragen.,EU action to stabilise markets has also contributed to this.,The Union's measures to stabilise markets also made a positive contribution.,1,0,0,0,0,0
1511,Hierzu können auch Beispiele angeführt werden.,Examples can also be given.,Similar things may happen here.,1,0,0,0,0,0
1512,Probleme infolge der Trockenheit,Drought problems,Difficulties as a result of drought,1,0,0,0,0,0
1513,Natürlich sind auch hier Grenzen gesetzt.,"There are, of course, limits here too.","Naturally, several qualifications apply.",1,0,0,0,0,0
1514,Zusammenarbeit im Zollwesen mit den MOEL,Customs cooperation with CEECs,Cooperation with the CCEE,1,0,0,0,0,0
1515,"Die Kenner sagen, dass die Abdeckung richtig darstellt, ist der Niedergang der Glam.",The experts say that the cover is correct is the decline of the glam.,The connoisseurs say that what the cover really represents is the decline of glam.,1,0,0,0,0,0
1516,"Die inständige Bitte, das Ausziehen nicht später 11:00 aufzuhalten, da um 12:00 ins Zimmer die anderen Touristen vorbeikommen können und man muss es für die Aufnahme der folgenden Gäste vorbereiten.",The staff were very friendly and helpful. The room was clean and comfortable.,We ask you not to delay with the leaving of the room after11:00 a.m. as at 12:00 a. m. other tourists may move into the room and it needs to be prepared for the next visitors.,0,0,0,0,0,1
1517,(Das Parlament genehmigt das Protokoll),(The Minutes were approved),(Parliament approved the Minutes),1,0,0,0,0,0
1518,Die Praxis in Kalifornien ist aufschlussreich.,California's practice is instructive.,California's experience is instructive.,1,0,0,0,0,0
1519,Wir werden so verfahren.,We will do so.,That is how we will proceed.,1,0,0,0,0,0
1520,Rolle des Gerichtshofs der Europäischen Gemeinschaften,Role of the Court of Justice of the European Communities,Role of the Court of Justice of the European Communities,1,0,0,0,0,0
1521,Und auch Großbritannien will sich daran beteiligen.,"Britain, too, wants to participate.",And the United Kingdom has put an end to its opt-out.,1,0,0,0,0,0
1522,Standard für Traktoren und Geräte eingeführt.,standard for tractors and equipment.,standard was introduced in tractors and implements in 2001.,1,0,0,0,0,0
1523,"Die gemietete ""Frigo box"" muß man sauber, geschlossen und ordentlich halten und den Schlüssel bewahren.",The staff were very friendly and helpful. The room was clean and comfortable.,"You can rent a cooling cupboard (frigo box), and of course keep it clean and tidy and not lose the key.",0,0,0,0,1,0
1524,Einrichtungen in gehobener und gepflegter Qualität.,Equipment of high and maintained quality.,Good standard of fittings and equipment.,0,0,0,0,0,0
1525,Nach der Tagesordnung folgt die Aussprache über:,The next item is the debate on:,The next item is the debate on:,0,0,0,0,0,0
1526,Mitmachen lohnt sich: Es gibt außergewöhnliche Preise im Gesamtwert von 35 000 Euro zu gewinnen.,It's worthwhile to join in: there are exceptional prizes to win at a total value of 35 000 euros.,"Taking part is well worth it: There are exceptional prizes worth a total of £30,000 to be won.",1,0,0,0,0,0
1527,"Das war's erstmal, Alles Gute, wir sehn' uns auf unserer Tour im September.","This was the first time, all the best, we are longing for ourselves on our tour in September.","That's it for now. Have a good time, see you on our tour in September!",0,0,0,0,0,0
1528,"Von allem, was wird Moments Salon im Juni und Juli Leistungspaket 10-s VelaSmooth Behandlungen, werden wir glücklich 2010.01.08 izzžrebali Gewinner, die auf die gespendet werden Wartungs-Paket .","Of everything that will be Moment Salon in June and July performance package 10-s VelaSmooth treatments, we will be happy 2010.01.08 izzžrebali winners who will be donated to the maintenance package .","Of all that will Moments Salon in June and July benefit package 10-s VelaSmooth treatments, we will happily 01/08/2010 izzžrebali winner, which will be donated to the maintenance package .",1,0,0,0,0,0
1529,(Heiterkeit und Beifall),(Laughter and applause),(Laughter and applause),1,0,0,0,0,0
1530,"Noch ein letzter Lerneffekt sei ausdrücklich angesprochen, weil er ebenfalls sehr wichtig ist.","I would like to make one final point, because it is also very important.","Finally, explicit reference should be made to one more lesson, because it is also very important.",0,0,0,0,0,0
1531,"Frau Präsidentin, Frau Kommissarin, meine sehr geehrten Damen und Herren!","Madam President, Commissioner, ladies and gentlemen.","Madam President, Madam Commissioner, ladies and gentlemen.",1,0,0,0,0,0
1532,Sie ist in wachsendem Maß zentraler Ort seines Lebens.,It is increasingly central to his life.,Its role as the central place of his or her life is becoming ever more predominant.,0,0,0,0,0,0
1533,Ich habe mich dazu vorhin geäußert und auch auf die Beschränkungen dabei hingewiesen.,I mentioned this earlier and I also referred to the restrictions.,"I commented on this earlier, but also pointed out its limitations.",1,0,0,0,0,0
1534,Wie geht es nun weiter?,What next?,How do we move forward?,1,0,0,0,0,0
1535,Nach einem Klick-Mechanismus wird sie in der Verpackung verhakt.,"After a click mechanism, it is placed in the packaging.",A handle can be unfolded from the top of the lid.,1,0,0,0,0,0
1536,"Diese Rechte stehen uns auch zu, wenn der Auftraggeber trotz einer verzugsbegründeten Mahnung keine Zahlung leistet.",We shall also be entitled to these rights if the purchaser does not make any payment despite a reminder which is justified by default.,We are also entitled to these rights if the customer does not made payment despite a reminder.,1,0,0,0,0,0
1537,Im Rahmen einer Bestandsaufnahme legt unserer Berichterstatter ausgezeichnete Empfehlungen vor.,Our rapporteur makes excellent recommendations as part of an inventory.,"Our rapporteur makes some excellent recommendations, presented as an inventory.",1,0,0,0,0,0
